NAMESPACE                NAME                                                     READY   STATUS                       RESTARTS           AGE     IP                NODE                    NOMINATED NODE   READINESS GATES
lawapp-monitoring        lawapp-smoke-test-29680425-9fsrj                         0/1     Pending                      0                  4h14m   <none>            <none>                  <none>           <none>
lawapp-monitoring        lawapp-smoke-test-29680440-9tq65                         0/1     Pending                      0                  3h59m   <none>            <none>                  <none>           <none>
lawapp-monitoring        lawapp-smoke-test-29680455-s9t46                         0/1     Pending                      0                  3h44m   <none>            <none>                  <none>           <none>
lawapp-monitoring        lawapp-smoke-test-29680470-8nhgr                         0/1     Pending                      0                  3h29m   <none>            <none>                  <none>           <none>
lawapp-monitoring        lawapp-smoke-test-29680485-tghc8                         0/1     Pending                      0                  3h14m   <none>            <none>                  <none>           <none>
lawapp-monitoring        lawapp-smoke-test-29680500-t7zj9                         0/1     Pending                      0                  179m    <none>            <none>                  <none>           <none>
lawapp-monitoring        lawapp-smoke-test-29680515-vqp85                         0/1     Pending                      0                  164m    <none>            <none>                  <none>           <none>
lawapp-monitoring        lawapp-smoke-test-29680530-f6qv2                         0/1     Pending                      0                  149m    <none>            <none>                  <none>           <none>
lawapp-monitoring        lawapp-smoke-test-29680545-9qhnw                         0/1     Pending                      0                  134m    <none>            <none>                  <none>           <none>
lawapp-monitoring        lawapp-smoke-test-29680560-ll9nv                         0/1     Pending                      0                  119m    <none>            <none>                  <none>           <none>
lawapp-monitoring        lawapp-smoke-test-29680575-t46m6                         0/1     Pending                      0                  104m    <none>            <none>                  <none>           <none>
lawapp-monitoring        lawapp-smoke-test-29680590-t2dzw                         0/1     Pending                      0                  89m     <none>            <none>                  <none>           <none>
lawapp-monitoring        lawapp-smoke-test-29680605-8d9h9                         0/1     Pending                      0                  74m     <none>            <none>                  <none>           <none>
lawapp-monitoring        lawapp-smoke-test-29680620-5ftl4                         0/1     Pending                      0                  59m     <none>            <none>                  <none>           <none>
lawapp-monitoring        lawapp-smoke-test-29680635-xtb8s                         0/1     Pending                      0                  44m     <none>            <none>                  <none>           <none>
lawapp-monitoring        lawapp-smoke-test-29680650-vvzpz                         0/1     Pending                      0                  29m     <none>            <none>                  <none>           <none>
lawapp-monitoring        lawapp-smoke-test-29680665-vz7jm                         0/1     Pending                      0                  14m     <none>            <none>                  <none>           <none>
lawapp-rag               lawapp-backup-proof-26bvp                                0/1     Error                        0                  3d7h    10.244.4.67       talos-5h3-83r           <none>           <none>
lawapp-rag               lawapp-backup-proof-29vkd                                0/1     Error                        0                  3d7h    10.244.5.76       talos-138-201-202-174   <none>           <none>
lawapp-rag               lawapp-backup-proof-7cmpm                                0/1     Error                        0                  3d7h    10.244.4.69       talos-5h3-83r           <none>           <none>
lawapp-rag               lawapp-backup-proof-btnzg                                0/1     Error                        0                  3d7h    10.244.5.80       talos-138-201-202-174   <none>           <none>
lawapp-rag               lawapp-backup-proof-gh5f8                                0/1     Error                        0                  3d7h    10.244.4.74       talos-5h3-83r           <none>           <none>
lawapp-rag               lawapp-backup-proof-hmnj5                                0/1     Error                        0                  3d7h    10.244.4.71       talos-5h3-83r           <none>           <none>
lawapp-rag               lawapp-backup-proof-svl76                                0/1     Error                        0                  3d7h    10.244.4.78       talos-5h3-83r           <none>           <none>
lawapp-rag               lawapp-backup-restore-proof-6b2sq                        0/1     Error                        0                  3d7h    10.244.4.75       talos-5h3-83r           <none>           <none>
lawapp-rag               lawapp-backup-restore-proof-bts4m                        0/1     Error                        0                  3d7h    10.244.4.70       talos-5h3-83r           <none>           <none>
